deck_grp,deck_name,deck_time
ancaex01,ancaex01.in,400000
ancaex03,ancaex03.in,250000
ancaex06,ancaex06.in,560000
ancaex05,ancaex05_tmpl.in,450000
ancaex05,ancaex05.in,19190000
ancaex07,ancaex07.in,290000
ancaex02,ancaex02.in,850000
mos1ex14,mos1ex14.in,1240000
mos1ex10,mos1ex10.in,810000
mos1ex01,mos1ex01.in,3490000
mos1ex04,mos1ex04.in,1730000
mos1ex05,mos1ex05.in,13230000
mos1ex13,mos1ex13.in,1250000
mos1ex11,mos1ex11.in,810000
mos1ex03,mos1ex03.in,1730000
mos1ex09,mos1ex09.in,810000
mos1ex12,mos1ex12.in,780000
mos1ex06,mos1ex06.in,1370000
mos1ex08,mos1ex08.in,800000
mos1ex02,mos1ex02.in,2680000
mos1ex07,mos1ex07.in,1370000
mos1ex15,mos1ex15.in,4290000
sicex02,sicex02.in,65970000
sicex13,sicex13.in,110290000
sicex14,sicex14.in,85950000
sicex05,sicex05.in,1376170000
sicex04,sicex04.in,805070000
sicex11,sicex11.in,1960000
sicex10,sicex10_aux_0.in,301730000
sicex10,sicex10_aux_2.in,312790000
sicex10,sicex10.in,311730000
sicex10,sicex10_aux_1.in,316050000
sicex01,sicex01.in,327830000
sicex06,sicex06.in,379400000
sicex08,sicex08.in,31566150000
sicex09,sicex09.in,1850000
sicex03,sicex03.in,46450000
sicex07,sicex07.in,26545370000
sicex12,sicex12.in,538590000
magneticex02,magneticex02.in,170000
magneticex01,magneticex01.in,4010000
magneticex03,magneticex03.in,2075190000
magneticex04,magneticex04.in,10590000
ledex01,ledex01.in,17420000
ledex07,ledex07.in,7259840000
ledex05,ledex05.in,121690000
ledex08,ledex08.in,7339240000
ledex06,ledex06.in,5131400000
ledex02,ledex02.in,19580000
ledex03,ledex03.in,386110000
ledex04,ledex04.in,185450000
ledex09,ledex09.in,237280000
highkex01,highkex01.in,8480000
highkex02,highkex02.in,6410000
mocasim04,mocasim04.in,110000
mocasim08,mocasim08.in,332600000
mocasim07,mocasim07.in,210090000
mocasim01,mocasim01.in,116340000
mocasim06,mocasim06.in,151500000
mocasim05,mocasim05.in,205010000
mocasim02,mocasim02.in,85440000
mocasim03,mocasim03.in,632470000
imagesensorex03,imagesensorex03.in,18066480000
imagesensorex01,imagesensorex01.in,7297020000
imagesensorex02,imagesensorex02.in,203100000
imagesensorex06,imagesensorex06.in,22272200000
imagesensorex04,imagesensorex04.in,1453910000
imagesensorex05,imagesensorex05.in,12346800000
tftex05,tftex05.in,410000
tftex22,tftex22.in,1900000
tftex12,tftex12.in,307380000
tftex06,tftex06.in,100630000
tftex03,tftex03.in,10550000
tftex15,tftex15.in,1920000
tftex16,tftex16.in,2127260000
tftex13,tftex13.in,2713580000
tftex10,tftex10.in,3216430000
tftex21,tftex21.in,1549850000
tftex21,tftex21_aux.in,218930000
tftex04,tftex04.in,10530000
tftex17,tftex17.in,6410000
tftex17,tftex17_aux.in,2250000
tftex18,tftex18.in,1372540000
tftex19,tftex19.in,1910000
tftex01,tftex01.in,9130000
tftex20,tftex20.in,1078860000
tftex20,tftex20_aux.in,111290000
tftex09,tftex09.in,16580000
tftex11,tftex11.in,1910000
tftex02,tftex02.in,9350000
tftex14,tftex14.in,538460000
tftex07,tftex07.in,24340000
tftex08,tftex08.in,10020000
diodeex02,diodeex02.in,23680000
diodeex08,diodeex08.in,330000
diodeex06,diodeex06.in,23060000
diodeex10,diodeex10_aux.in,920000
diodeex10,diodeex10.in,7660000
diodeex11,diodeex11.in,51570000
diodeex07,diodeex07.in,290000
diodeex12,diodeex12.in,121650000
diodeex05,diodeex05.in,770000
diodeex03,diodeex03.in,2410000
diodeex01,diodeex01.in,4320000
diodeex09,diodeex09.in,4080000
diodeex04,diodeex04.in,9240000
diodeex13,diodeex13.in,2695730000
powerex20,powerex20.in,1900000
powerex12,powerex12.in,359160000
powerex22,powerex22.in,1940000
powerex10,powerex10.in,46260000
powerex11,powerex11.in,94020000
powerex05,powerex05.in,3110000
powerex01,powerex01.in,18030000
powerex04,powerex04.in,24120000
powerex21,powerex21.in,1860000
powerex18,powerex18.in,2270000
powerex19,powerex19.in,1930000
powerex06,powerex06.in,804070000
powerex08,powerex08.in,5370000
powerex16,powerex16.in,1960000
powerex17,powerex17.in,653550000
powerex14,powerex14.in,7770000
powerex07,powerex07.in,5360000
powerex15,powerex15.in,6099640000
powerex02,powerex02.in,4010000
powerex09,powerex09.in,65510000
powerex13,powerex13.in,121950000
powerex03,powerex03.in,46180000
powerex23,powerex23.in,1870000
mcdeviceex03,mcdeviceex03.in,154630000
mcdeviceex01,mcdeviceex01.in,21410000
mcdeviceex02,mcdeviceex02.in,42260000
mcdeviceex05,mcdeviceex05.in,130000
mcdeviceex04,mcdeviceex04.in,36600000
vp2dex02,vp2dex02.in,1940000
vp2dex03,vp2dex03.in,2380000
vp2dex12,vp2dex12.in,1890000
vp2dex11,vp2dex11.in,2390000
vp2dex05,vp2dex05.in,1890000
vp2dex13,vp2dex13.in,2390000
vp2dex04,vp2dex04.in,1890000
vp2dex01,vp2dex01.in,2390000
vp2dex06,vp2dex06.in,1900000
vp2dex07,vp2dex07.in,2390000
vp2dex10,vp2dex10.in,1890000
